Year,Month,Day,Hour,Min,Sec,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2001,03,05,00,00,00,-61.0,21.0,-0.2,-60.6,22.0,-0.2
2001,03,05,00,01,00,-62.0,21.0,-0.1,-61.6,22.0,-0.1
2001,03,05,00,02,00,-63.0,21.0,-0.1,-62.7,22.0,-0.1
2001,03,05,00,03,00,-64.0,22.0,-0.1,-63.7,23.0,-0.1
2001,03,05,00,04,00,-66.0,22.0,-0.1,-65.7,23.0,-0.1
2001,03,05,00,05,00,-67.0,22.0,0.9,-66.7,23.1,0.9
2001,03,05,00,06,00,-68.0,22.0,0.9,-67.7,23.1,0.9
2001,03,05,00,07,00,-69.1,23.0,0.9,-68.7,24.1,0.9
2001,03,05,00,08,00,-70.1,22.0,0.9,-69.7,23.1,0.9
2001,03,05,00,09,00,-71.1,22.0,0.9,-70.7,23.1,0.9
2001,03,05,00,10,00,-72.1,22.0,0.9,-71.7,23.1,0.9
2001,03,05,00,11,00,-72.1,23.0,0.9,-71.7,24.2,0.9
2001,03,05,00,12,00,-72.1,22.0,1.0,-71.7,23.2,1.0
2001,03,05,00,13,00,-72.1,21.1,1.0,-71.7,22.2,1.0
2001,03,05,00,14,00,-71.1,21.1,1.0,-70.7,22.2,1.0
2001,03,05,00,15,00,-71.1,21.1,1.0,-70.7,22.2,1.0
2001,03,05,00,16,00,-70.1,21.1,1.0,-69.8,22.2,1.0
2001,03,05,00,17,00,-68.1,21.2,1.0,-67.8,22.3,1.0
2001,03,05,00,18,00,-67.1,21.2,1.0,-66.8,22.3,1.0
2001,03,05,00,19,00,-65.1,21.3,1.0,-64.8,22.3,1.0
2001,03,05,00,20,00,-63.1,21.3,2.0,-62.8,22.3,2.0
2001,03,05,00,21,00,-61.1,21.4,2.0,-60.8,22.3,2.0
2001,03,05,00,22,00,-59.2,21.4,1.1,-58.8,22.4,1.1
2001,03,05,00,23,00,-57.2,21.5,1.1,-56.8,22.4,1.1
2001,03,05,00,24,00,-56.2,21.5,1.1,-55.8,22.4,1.1
