Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MAGON,MAGLAT,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2001-03-05T00:00:00,60,BNG,18.57,4.33,90.24,-5.63,-61.0,21.0,-0.2,-60.6,22.0,-0.2
2001-03-05T00:01:00,60,BNG,18.57,4.33,90.24,-5.63,-62.0,21.0,-0.1,-61.6,22.0,-0.1
2001-03-05T00:02:00,60,BNG,18.57,4.33,90.24,-5.63,-63.0,21.0,-0.1,-62.7,22.0,-0.1
2001-03-05T00:03:00,60,BNG,18.57,4.33,90.24,-5.63,-64.0,22.0,-0.1,-63.7,23.0,-0.1
2001-03-05T00:04:00,60,BNG,18.57,4.33,90.24,-5.63,-66.0,22.0,-0.1,-65.7,23.0,-0.1
2001-03-05T00:05:00,60,BNG,18.57,4.33,90.24,-5.63,-67.0,22.0,0.9,-66.7,23.1,0.9
2001-03-05T00:06:00,60,BNG,18.57,4.33,90.24,-5.63,-68.0,22.0,0.9,-67.7,23.1,0.9
2001-03-05T00:07:00,60,BNG,18.57,4.33,90.24,-5.63,-69.1,23.0,0.9,-68.7,24.1,0.9
2001-03-05T00:08:00,60,BNG,18.57,4.33,90.24,-5.63,-70.1,22.0,0.9,-69.7,23.1,0.9
2001-03-05T00:09:00,60,BNG,18.57,4.33,90.24,-5.63,-71.1,22.0,0.9,-70.7,23.1,0.9
2001-03-05T00:10:00,60,BNG,18.57,4.33,90.24,-5.63,-72.1,22.0,0.9,-71.7,23.1,0.9
2001-03-05T00:11:00,60,BNG,18.57,4.33,90.24,-5.63,-72.1,23.0,0.9,-71.7,24.2,0.9
2001-03-05T00:12:00,60,BNG,18.57,4.33,90.24,-5.63,-72.1,22.0,1.0,-71.7,23.2,1.0
2001-03-05T00:13:00,60,BNG,18.57,4.33,90.24,-5.63,-72.1,21.1,1.0,-71.7,22.2,1.0
2001-03-05T00:14:00,60,BNG,18.57,4.33,90.24,-5.63,-71.1,21.1,1.0,-70.7,22.2,1.0
2001-03-05T00:15:00,60,BNG,18.57,4.33,90.24,-5.63,-71.1,21.1,1.0,-70.7,22.2,1.0
2001-03-05T00:16:00,60,BNG,18.57,4.33,90.24,-5.63,-70.1,21.1,1.0,-69.8,22.2,1.0
2001-03-05T00:17:00,60,BNG,18.57,4.33,90.24,-5.63,-68.1,21.2,1.0,-67.8,22.3,1.0
2001-03-05T00:18:00,60,BNG,18.57,4.33,90.24,-5.63,-67.1,21.2,1.0,-66.8,22.3,1.0
2001-03-05T00:19:00,60,BNG,18.57,4.33,90.24,-5.63,-65.1,21.3,1.0,-64.8,22.3,1.0
2001-03-05T00:20:00,60,BNG,18.57,4.33,90.24,-5.63,-63.1,21.3,2.0,-62.8,22.3,2.0
2001-03-05T00:21:00,60,BNG,18.57,4.33,90.24,-5.63,-61.1,21.4,2.0,-60.8,22.3,2.0
2001-03-05T00:22:00,60,BNG,18.57,4.33,90.24,-5.63,-59.2,21.4,1.1,-58.8,22.4,1.1
2001-03-05T00:23:00,60,BNG,18.57,4.33,90.24,-5.63,-57.2,21.5,1.1,-56.8,22.4,1.1
2001-03-05T00:24:00,60,BNG,18.57,4.33,90.24,-5.63,-56.2,21.5,1.1,-55.8,22.4,1.1
2001-03-05T00:25:00,60,BNG,18.57,4.33,90.24,-5.63,-54.2,21.6,1.1,-53.8,22.4,1.1
2001-03-05T00:26:00,60,BNG,18.57,4.33,90.24,-5.63,-53.2,21.6,1.1,-52.8,22.4,1.1
2001-03-05T00:27:00,60,BNG,18.57,4.33,90.24,-5.63,-51.2,21.6,1.1,-50.8,22.5,1.1
2001-03-05T00:28:00,60,BNG,18.57,4.33,90.24,-5.63,-51.2,22.7,1.1,-50.9,23.5,1.1
